"Best parameters:
,""{'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 24, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}"""

Score:,0.7537037037037037
0.73889 (+/-0.14990) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 50, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.15617) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 50, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.16464) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 51, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.75185 (+/-0.13947) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 51, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.15351) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 52, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.14581) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 52, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.16355) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 53, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73148 (+/-0.13032) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 53, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.13426) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 54, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.14916) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 54, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.14581) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 55, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73333 (+/-0.14258) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 55, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.14971) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 56, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74444 (+/-0.15262) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 56, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.15108) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 57, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.14468) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 57, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.15617) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 58, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74815 (+/-0.16136) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 58, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.14064) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 59, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.16288) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 59, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14916) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 60, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14778) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 60, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14916) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 61, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.16136) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 61, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.15217) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 62, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73519 (+/-0.14064) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 62, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.15617) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 63, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73889 (+/-0.16127) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 63, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74259 (+/-0.13649) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 64, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.14916) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 64, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.14411) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 65, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74815 (+/-0.13739) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 65, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.15511) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 66, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.14971) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 66, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

0.73704 (+/-0.14971) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 67, 'learning_rate': 'constant', 'random_state': 1, 'solver': 'lbfgs'}, corr = 70.00000

0.74074 (+/-0.15511) for {'activation': 'tanh', 'alpha': 0.5, 'hidden_layer_sizes': 67, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}, corr = 70.00000

